TeamName,Position_mean,Position_std,Position_min,GridPosition_mean,position_change_mean,is_dnf_mean,Points_sum
Ferrari,2.5,2.121,1.0,3.5,1.0,0.0,37.0
Mercedes,4.0,1.414,3.0,2.0,-2.0,0.0,25.0
Renault,6.5,0.707,6.0,9.0,2.5,0.0,14.0
Sauber,12.5,3.536,10.0,12.5,0.0,1.0,1.0
Racing Point,13.5,7.778,8.0,8.0,-5.5,0.5,4.0
Williams,13.5,0.707,13.0,14.5,1.0,1.0,0.0
McLaren,14.5,4.95,11.0,15.0,0.5,1.0,0.0
Red Bull,16.0,,16.0,4.0,-12.0,1.0,0.0
Haas,18.5,2.121,17.0,10.0,-8.5,1.0,0.0
