metric,value
Total Races,1
Total Entries,17
Years Active,1
Pole Win Rate,0.000
Avg Position Change,0.714
DNF Rate,0.588
Overtaking Score,0.482
Front Row Win Rate,0.500
Lowest Winner Grid,2
