iter	Passed	Remaining
472	776	804
473	780	804
474	781	802
475	782	801
476	784	799
477	785	796
478	786	794
479	787	792
480	788	790
481	790	789
482	794	789
483	795	786
484	796	784
485	797	782
486	798	780
487	799	778
488	800	775
489	801	773
490	802	771
491	803	768
492	804	766
493	806	765
494	807	763
495	808	760
496	809	758
497	810	756
498	811	754
499	812	752
500	813	750
501	816	749
502	817	747
503	821	747
504	822	745
505	823	743
506	823	741
507	825	739
508	826	737
509	827	734
510	828	732
511	829	730
512	831	729
513	832	726
514	833	724
515	834	722
516	835	720
517	836	718
518	837	716
519	838	714
520	840	713
521	842	711
522	843	709
523	844	707
524	846	706
525	848	704
526	849	702
527	850	700
528	852	699
529	853	697
530	854	695
531	857	694
532	858	692
533	859	690
534	860	688
535	862	686
536	863	684
537	865	683
538	869	684
539	870	682
540	872	680
541	875	679
542	876	677
543	881	678
544	882	676
545	883	674
546	885	673
547	887	671
548	888	669
549	889	668
550	891	666
551	892	664
552	893	662
553	893	659
554	895	658
555	896	655
556	896	653
557	898	651
558	899	650
559	901	648
560	902	646
561	903	644
562	905	643
563	906	641
564	908	639
565	909	637
566	910	635
567	911	633
568	912	631
569	913	629
570	914	627
571	915	625
572	916	623
573	917	621
574	918	619
575	919	617
576	920	616
577	924	616
578	926	614
579	927	612
580	931	612
581	937	613
582	938	611
583	939	609
584	941	608
585	949	610
586	950	608
587	951	606
588	952	604
589	953	603
590	955	601
591	956	599
592	958	597
593	959	596
594	960	594
595	962	592
596	966	592
597	967	590
598	968	588
599	969	586
600	970	584
601	971	582
602	972	580
603	973	578
604	975	576
605	976	574
606	977	573
607	978	571
608	985	573
609	987	571
610	988	569
611	989	567
612	990	565
613	991	563
614	993	561
615	994	560
616	996	558
617	997	557
618	998	554
619	1000	553
620	1001	551
621	1002	549
622	1003	547
623	1004	545
624	1005	543
625	1006	541
626	1007	539
627	1008	537
628	1008	535
629	1009	533
630	1010	531
631	1012	530
632	1013	528
633	1013	526
634	1014	524
635	1015	522
636	1016	520
637	1017	518
638	1018	516
639	1019	514
640	1020	512
641	1020	510
642	1021	508
643	1022	506
644	1023	504
645	1024	502
646	1025	500
647	1026	498
648	1027	496
649	1027	494
650	1028	492
651	1029	490
652	1029	488
653	1030	486
654	1031	485
655	1033	483
656	1034	481
657	1034	479
658	1035	477
659	1036	475
660	1037	474
661	1038	472
662	1039	470
663	1040	468
664	1041	466
665	1042	464
666	1043	462
667	1044	461
668	1045	459
669	1046	457
670	1047	455
671	1048	454
672	1049	452
673	1049	450
674	1050	448
675	1051	446
676	1052	444
677	1053	442
678	1054	440
679	1054	438
680	1056	437
681	1057	435
682	1057	433
683	1058	431
684	1059	429
685	1059	428
686	1060	426
687	1061	424
688	1061	422
