iter	RMSE
387	0.5673585885
388	0.5656326976
389	0.5646350863
390	0.5634702255
391	0.5629659558
392	0390	0.430686393	391	0.430002839392	0.428995834395	0.5593140901
396	0.5582428906
397	0.5575234902
398	0.5560131116
399	0.5550719221
400	0.5539910107
401	0.5529461745
402	0.5515716936
403	0.5504658439
404	0.5497426615
405	0.548948251
40404	0.42144011407405	0.420685003
406	0.4203293524
407	0.4191929898
408	0.4183878604
409	0.4174083837
410	0.4168935064
411	0.4154657765
412	0.4151667356
413	0.4148748393
414	0.4140950879
415	0.4131981237
416	0.4128855675
417	0.4124614309
418	0.4112712578
419	0.4104744524
420	0.4101832075
421	0.4086377895
422	0.4083718804
423	0.4071493281
424	0.4064317545
425	0.4051179502
426	0.4039001006
427	0.4029072606
428	0.4026367039
429	0.4020216897
430	0.4015585833
431	0.4011754326
432	0.4006539733
433	0.4001677132
434	0.3994547901
435	0.3983169569
436	0.3969956078
437	0.3959236504
438	0.394718481
439	0.3938962028
440	0.3934690974
441	0.3931803283
442	0.3922178202
443	0.391393062
444	0.3902722043
445	0.3899849752
446	0.3889766707
447	0.3878637632
448	0.387410393
449	0.3862952521
450	0.3854840605
451	0.3847923438
452	0.3839639669
453	0.3833945864
454	0.3827525834
455	0.3814241116
456	0.3808861695
457	0.3799011774
458	0.3796516004
459	0.3789997086
460	0.3782536527
461	0.3779747335
462	0.3777023245
463	0.3769024502
464	0.3766699486
465	0.3762670455
466	0.3760468603
467	0.3756770165
468	0.3743931423
469	0.3735553451
470	0.3728320026
471	0.3725923716
472	0.3717451382
473	0.3707717154
474	0.3692337718
475	0.3683058487
476	0.3669727182
477	0.366680887
478	0.366434909
479	0.3652375652
480	0.3643405326
481	0.3634043506
482	0.36255413
483	0.3620400181
484	0.3617900581
485	0.3605473593
486	0.3599478956
487	0.3595439749
488	0.3582005188
489	0.3574833582
490	0.3565268724
491	0.3554744789
492	0.3541938057
493	0.3537300404
494	0.3528364599
495	0.3523488947
496	0.3520035074
497	0.3514004685
498	0.3508803862
499	0.3496297903
500	0.3490881108
501	0.3485289704
502	0.3477220798
503	0.3468849565
504	0.3457492223
505	0.3449178326
506	0.344430136
507	0.3437361617
508	0.3434915554
509	0.3429677347
510	0.3427965152
511	0.3425767916
512	0.3420807473
513	0.3412745183
514	0.3405615668
515	0.3398116913
516	0.338951097
517	0.3384025716
518	0.337647604
519	0.3369893686
520	0.3363149573
521	0.3360198818
522	0.3356389165
523	0.3354331541
524	0.3352421782
525	0.3350454008
526	0.3338834523
527	0.3326744736
528	0.3320725299
529	0.3318823182
530	0.3304403179
531	0.3296452827
532	0.3288843651
533	0.3282376952
534	0.3276305115
535	0.3267627846
536	0.3260698369
537	0.3258655521
538	0.324740237
539	0.3241687335
540	0.3230129586
541	0.3219730179
542	0.3214607545
543	0.3204659615
544	0.3197497989
545	0.3190629714
546	0.3185177711
547	0.3173246308
548	0.3164117354
549	0.3153150063
550	0.3150930874
551	0.3147094113
552	0.3138395332
553	0.3136799419
554	0.3129047429
555	0.312269924
556	0.3118114499
557	0.3116183071
558	0.3104215533
559	0.3102512872
560	0.3095952553
561	0.309131956
562	0.3086051735
563	0.3078741996
564	0.3072287995
565	0.3066386831
566	0.3058895934
567	0.3052805074
568	0.3042363815
569	0.3035806977
570	0.3034117682
571	0.3028711816
572	0.30200417
573	0.3015451924
574	0.301293763
575	0.3006744064
576	0.3004863968
577	0.2998379212
578	0.2995930196
579	0.2988550539
580	0.2980600073
581	0.2971457061
582	0.2965245987
583	0.2960583364
584	0.2952988575
585	0.2946721449
586	0.2942312417
587	0.2937068042
588	0.2926929208
589	0.2921168696
590	0.2916328418
591	0.2915014033
592	0.2907325402
593	0.2902550098
594	0.2896202698
595	0.2894454898
596	0.2888614344
597	0.2879705552
598	0.2871840182
599	0.2865943398
600	0.2862508214
601	0.2851027617
602	0.2846472963
603	0.2841843446
604	0.2838005015
605	0.2830086826
606	0.2824284379
607	0.2816732232
608	0.2812497755
609	0.2809163232
610	0.2801592478
611	0.2800433001
612	0.279854977
613	0.2796632304
614	0.2786069269
615	0.2780715161
616	0.27737796
617	0.2768996662
618	0.2766816457
619	0.2759157138
620	0.2757733099
621	0.2752742925
622	0.2746768908
623	0.2737605169
624	0.2730710189
625	0.2725120588
626	0.2718575489
627	0.2712351769
628	0.2706643323
629	0.2700721784
630	0.269180227
631	0.2686446697
632	0.2685011666
633	0.2683141932
634	0.2678372123
635	0.2673655813
636	0.2669687874
637	0.2661641617
638	0.2657759727
639	0.2655160388
640	0.2648318979
641	0.2642999782
642	0.2637747792
643	0.2630691604
644	0.2629411795
645	0.2619975097
646	0.2614650126
647	0.26097943
648	0.2607274576
649	0.2605689192
650	0.2601196021
651	0.2599449615
652	0.2595355461
653	0.2591200107
654	0.2584916821
655	0.2578858015
656	0.2573143187
657	0.2567029635
658	0.2563683393
659	0.2560070838
660	0.2557722777
661	0.2553110706
662	0.2551969321
663	0.2543680456
664	0.2537986025
665	0.2533006603
666	0.2529804693
667	0.2524595625
668	0.2517881921
669	0.2509765195
670	0.2506298017
671	0.2501170756
672	0.2498849772
673	0.2496385261
674	0.249031322
675	0.2482549788
676	0.2480412131
677	0.2473515076
678	0.2465905298
679	0.2462113337
680	0.245671574
681	0.2452748142
682	0.2446470394
683	0.2437968177
684	0.2434975238
685	0.2430632059
686	0.2427215614
687	0.2420722793
688	0.2419480558
689	0.2413249186
690	0.2409203095
691	0.2404890613
692	0.240185035
693	0.239415863
694	0.2388759978
695	0.238720587
696	0.238118211
697	0.2377844166
698	0.2373451111
699	0.2369964962
700	0.2364771223
701	0.2357912366
702	0.2356878748
703	0.2351062212
704	0.2344650519
705	0.2340049031
706	0.2337393322
707	0.233317624
708	0.2332255377
709	0.2329679032
710	0.2323846312
711	0.2322156049
712	0.2315911286
713	0.2310747538
714	0.2306062836
715	0.2302644609
716	0.2301722399
717	0.229670151
718	0.2293027204
719	0.2288976891
720	0.2282334179
721	0.2276796358
722	0.2275895668
723	0.2269759536
724	0.2263919341
725	0.2259161527
726	0.225812017
727	0.225384119
728	0.2249015786
729	0.2245321481
730	0.2238463464
731	0.223188779
732	0.2228277719
733	0.2224618449
734	0.2221231776
735	0.2217035395
736	0.221156824
737	0.2207597617
738	0.2201536964
739	0.2200353489
740	0.2196979136
741	0.2194342069
742	0.2187906195
743	0.2182999313
744	0.2182044257
745	0.2179113819
746	0.217423004
747	0.2173296291
748	0.2167312268
749	0.2162755103
750	0.215710631
751	0.215101842
752	0.2148245819
753	0.2144424264
754	0.2142882209
755	0.21418467
756	0.213918683
757	0.2138176455
758	0.2133029995
759	0.2131159394
760	0.2127768707
761	0.2122076685
762	0.2121010003
763	0.2119060263
764	0.2115891834
765	0.2115003961
766	0.2111113762
767	0.2106787058
768	0.210296181
769	0.2099794802
770	0.2096863284
771	0.2095881407
772	0.2091127042
773	0.2086632505
774	0.2080210356
775	0.2077022118
776	0.2076209607
777	0.2072996478
778	0.2068243006
779	0.206248278
780	0.2059414489
781	0.2054929667
782	0.2052583688
783	0.2049392707
784	0.2043749853
785	0.2041484246
786	0.2039249932
787	0.2038490389
788	0.2033868415
789	0.2032600847
790	0.2031514011
791	0.2030519095
792	0.2026355679
793	0.2022624839
794	0.2018586686
795	0.2016402624
796	0.2012588445
797	0.2007791728
798	0.2005724325
799	0.2001939443
800	0.1994316766
801	0.1988776718
802	0.1985388896
803	0.1981274037
804	0.1980460012
805	0.1975881985
806	0.1973301823
807	0.1971160713
808	0.1967318032
809	0.1964978202
810	0.1962215919
811	0.1960744129
812	0.1956411126
813	0.1953232188
814	0.195124214
815	0.1947241819
816	0.194393081
817	0.1939679057
818	0.1937307886
819	0.1934511614
820	0.1929111529
821	0.1926775125
822	0.1922690643
823	0.1919610753
824	0.1917050113
825	0.1913879314
826	0.1910303343
827	0.1907588217
828	0.1905752332
829	0.1901911348
830	0.1899610278
831	0.1896102863
832	0.1894457887
833	0.1890550939
834	0.188984285
835	0.1889020114
836	0.1884894669
837	0.1882145873
838	0.1879389469
839	0.1878717448
840	0.1874557085
841	0.187240769
842	0.1868983467
843	0.1864726915
844	0.1861594501
845	0.1859367903
846	0.1856052635
847	0.1851641258
848	0.1846356044
849	0.1843579549
850	0.1838696366
851	0.183581123
852	0.1832828311
853	0.1828589172
854	0.1826730932
855	0.1824384401
856	0.1820546442
857	0.1817069018
858	0.1814684559
859	0.181130052
860	0.1808503556
861	0.1807081842
862	0.1804182101
863	0.1801405804
864	0.1800154762
865	0.1796201517
866	0.179354586
867	0.1789393437
868	0.1786030868
869	0.1783320134
870	0.1780982515
871	0.1780485224
872	0.1777530895
873	0.1773005429
874	0.1769184944
875	0.176691113
876	0.176279202
877	0.1759135578
878	0.1755190319
879	0.1751009265
880	0.1749779652
881	0.1745909358
882	0.1741386114
883	0.1739598611
884	0.1735328227
885	0.173265124
886	0.1732141731
887	0.1729318314
888	0.1727739887
889	0.1723372911
890	0.1719565084
891	0.1718882185
892	0.1715619133
893	0.1713586926
894	0.1709868838
895	0.170687601
896	0.1704299231
897	0.1701430045
898	0.16988213
899	0.1695616054
900	0.1692411078
901	0.1690862024
902	0.1686559586
903	0.1681542575
904	0.1678839961
905	0.1674624828
906	0.1671165236
907	0.166844248
908	0.1666821988
909	0.1662890571
910	0.1659738944
911	0.1658981257
912	0.1658459191
913	0.1654693359
914	0.1652477056
915	0.1648167463
916	0.1647380049
917	0.1645558685
918	0.1642997612
919	0.1639144335
920	0.1635581952
921	0.1633804785
922	0.1629930769
923	0.1626407813
924	0.1623696905
925	0.1621664039
926	0.1618440528
927	0.1615821809
928	0.1613576938
929	0.1612917079
930	0.1611568256
931	0.1608024871
932	0.160450029
933	0.1601913396
934	0.1598922557
935	0.1595644607
936	0.1593055261
937	0.1590496462
938	0.1587504653
939	0.1582601125
940	0.1580219114
941	0.1577960191
942	0.1577338527
943	0.1576825457
944	0.1575735646
945	0.1572216754
946	0.156788887
947	0.1565992146
948	0.1564731624
949	0.1560222471
950	0.1555886867
951	0.1552972421
952	0.1552119784
953	0.1550173253
954	0.1546661533
955	0.1544490954
956	0.1541616051
957	0.1538127965
958	0.1534003947
959	0.1530852742
960	0.1527818871
961	0.1525164271
962	0.152163511
