circuit,value,cluster
Sochi,6.395683067879607,High Overtaking
Spa-Francorchamps,5.408326913195984,High Overtaking
Hockenheim,5.043401375648922,High Overtaking Chaotic
Suzuka,3.940530139178963,High Overtaking
Monte Carlo,3.789323733725367,High Overtaking
Budapest,3.7103458958251676,High Overtaking
Shanghai,3.4454818283136786,High Overtaking
Baku,3.166329266775808,High Overtaking Chaotic
Monza,2.8284271247461903,High Overtaking
Melbourne,2.793241450751761,High Overtaking
