cluster,size,circuits,top_features,feature_values
0,12,"2, 3, 5, 6, 7, 9, 10, 11, 13, 15, 16, 18","front_row_dominance, overtaking_score, position_change_std, midfield_volatility, avg_position_change","2.38, 4.52, 4.52, 4.20, 0.00"
1,6,"0, 1, 4, 12, 14, 17","front_row_dominance, overtaking_score, position_change_std, midfield_volatility, avg_position_change","8.19, 6.78, 6.78, 5.97, -0.50"
