feature,importance
GridPosition,0.5156640713203787
driver_momentum,0.1445387746157835
TeamName_encoded,0.08901888413497981
circuit_encoded,0.0785788701913394
season_progress,0.0745250065583908
DriverId_encoded,0.066608493918668
cluster_1,0.015697935402951304
circuit_cluster,0.015367963857508457
