DriverNumber,BroadcastName,Abbreviation,DriverId,TeamName,TeamColor,TeamId,FirstName,LastName,FullName,HeadshotUrl,CountryCode,Position,ClassifiedPosition,GridPosition,Q1,Q2,Q3,Time,Status,Points,Laps,year,round,race_name,circuit,date,GridPosition_raw,Position_raw,position_change,month,is_dnf,completed_race,grid_squared,grid_cubed,grid_log,grid_sqrt,front_row,top_three,top_five,top_ten,back_half,grid_side,grid_side_clean,grid_row,team_avg_finish_last_5,team_avg_finish_last_3,team_avg_grid_last_5,team_best_finish_last_5,team_worst_finish_last_5,team_points_last_5,team_position_change_avg_5,team_dnf_rate_last_10,team_completion_rate_season,team_wins_season,team_podiums_season,team_points_total,team_races_since_podium,team_vs_average_grid,team_momentum,team_consistency,team_avg_grid,team_avg_finish,team_performance_delta,team_last3_avg_finish,team_last3_avg_change,team_last5_avg_finish,team_last5_avg_change,team_form_trend,driver_career_races,driver_career_wins,driver_career_podiums,is_rookie,is_veteran,driver_races_at_circuit,driver_avg_finish_at_circuit,driver_best_finish_at_circuit,driver_avg_finish_last_5,driver_avg_position_change_5,driver_points_last_5,driver_best_finish_last_5,driver_consistency_last_5,driver_momentum,driver_points_season,driver_avg_grid_season,driver_avg_finish_season,driver_vs_teammate,driver_vs_car_potential,race_number,season_progress,races_remaining,post_2022,years_into_regulations,is_season_opener,is_season_finale,early_season,mid_season,late_season,covid_affected,championship_gap_leader,driver_in_contention,circuit_pole_win_rate,circuit_top3_win_rate,circuit_avg_pos_change,circuit_std_pos_change,circuit_var_pos_change,circuit_correlation,circuit_dnf_rate,circuit_improved_pct,overtaking_difficulty_index,track_length_km,num_turns,circuit_type,downforce_level,drs_zones,longest_straight_m,year_first_raced,altitude_m,typical_lap_time_s,direction,high_downforce,low_downforce,is_street,high_altitude,many_drs_zones,long_straight,grid_x_overtaking,grid_x_pole_win_rate,midfield_x_variance,back_x_variance,frontrow_x_correlation,pole_at_processional,top3_x_street,top3_x_high_df,grid_x_low_df,grid_x_team_delta,momentum_x_variance,reliability_x_circuit_dnf,veteran_new_circuit,experience_x_chaos,form_x_contention,early_x_variance,late_contention_pressure
33,M VERSTAPPEN,VER,max_verstappen,Red Bull,1E41FF,red_bull,Max,Verstappen,Max Verstappen,,,6.0,6,4.0,,,,0 days 00:00:28.945000,Finished,8.0,58.0,2018,1,Australian Grand Prix,Melbourne,2018-03-25,4.0,6.0,-2.0,3,False,True,16.0,64.0,1.3862943611198906,2.0,0,0,1,1,0,dirty,0,2.0,10.0,4.0,10.0,10.0,10.0,0.0,0.0,0.0,100.0,0.0,0.0,12.0,1.0,-2.4523809523809526,0.0,0.0,8.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10.0,20.0,10.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0,1,0.047619047619047616,20,0,1,1,0,1,0,0,0,0.0,0,0.0,33.33333333333333,1.15,2.4553914898486253,6.028947368421052,0.8817226281435071,50.0,55.00000000000001,60.42273147588416,5.278,14,street,medium,4,700,1996,7,80,clockwise,0,0,1,0,1,0,241.69092590353665,0.0,0.0,0.0,0.0,0,0,0,0.0,16.0,0.0,0.0,0,0.0,0.0,6.028947368421052,0
31,E OCON,OCO,ocon,Force India,F596C8,force_india,Esteban,Ocon,Esteban Ocon,,,12.0,12,14.0,,,,0 days 00:01:00.278000,Finished,0.0,58.0,2018,1,Australian Grand Prix,Melbourne,2018-03-25,14.0,12.0,2.0,3,False,True,196.0,2744.0,2.6390573296152584,3.7416573867739413,0,0,0,0,1,dirty,0,7.0,10.0,11.0,10.0,10.0,10.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,1.0,1.5476190476190474,0.0,0.0,12.0,11.0,1.0,11.0,1.0,11.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10.0,20.0,10.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,1,0.047619047619047616,20,0,1,1,0,1,0,0,0,0.0,0,0.0,33.33333333333333,1.15,2.4553914898486253,6.028947368421052,0.8817226281435071,50.0,55.00000000000001,60.42273147588416,5.278,14,street,medium,4,700,1996,7,80,clockwise,0,0,1,0,1,0,845.9182406623783,0.0,6.028947368421052,0.0,0.0,0,0,0,0.0,14.0,0.0,0.0,0,0.0,0.0,6.028947368421052,0
11,S PEREZ,PER,perez,Force India,F596C8,force_india,Sergio,Perez,Sergio Perez,,,11.0,11,12.0,,,,0 days 00:00:46.817000,Finished,0.0,58.0,2018,1,Australian Grand Prix,Melbourne,2018-03-25,12.0,11.0,1.0,3,False,True,144.0,1728.0,2.4849066497880004,3.4641016151377544,0,0,0,0,1,dirty,0,6.0,10.0,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.452380952380953,0.0,0.0,0.0,0.0,0.0,11.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10.0,20.0,10.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0.047619047619047616,20,0,1,1,0,1,0,0,0,0.0,0,0.0,33.33333333333333,1.15,2.4553914898486253,6.028947368421052,0.8817226281435071,50.0,55.00000000000001,60.42273147588416,5.278,14,street,medium,4,700,1996,7,80,clockwise,0,0,1,0,1,0,725.0727777106099,0.0,6.028947368421052,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,6.028947368421052,0
7,K RAIKKONEN,RAI,raikkonen,Ferrari,DC0000,ferrari,Kimi,Räikkönen,Kimi Räikkönen,,,3.0,3,2.0,,,,0 days 00:00:06.309000,Finished,15.0,58.0,2018,1,Australian Grand Prix,Melbourne,2018-03-25,2.0,3.0,-1.0,3,False,True,4.0,8.0,0.6931471805599453,1.4142135623730951,1,1,1,1,0,dirty,0,1.0,10.0,1.0,10.0,10.0,10.0,0.0,0.0,0.0,100.0,1.0,1.0,25.0,1.0,-7.4523809523809526,0.0,0.0,3.0,1.0,2.0,1.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10.0,20.0,10.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0,1,0.047619047619047616,20,0,1,1,0,1,0,0,0,0.0,0,0.0,33.33333333333333,1.15,2.4553914898486253,6.028947368421052,0.8817226281435071,50.0,55.00000000000001,60.42273147588416,5.278,14,street,medium,4,700,1996,7,80,clockwise,0,0,1,0,1,0,120.84546295176833,0.0,0.0,0.0,0.8817226281435071,0,1,0,0.0,4.0,0.0,0.0,0,0.0,0.0,6.028947368421052,0
3,D RICCIARDO,RIC,ricciardo,Red Bull,1E41FF,red_bull,Daniel,Ricciardo,Daniel Ricciardo,,,4.0,4,8.0,,,,0 days 00:00:07.069000,Finished,12.0,58.0,2018,1,Australian Grand Prix,Melbourne,2018-03-25,8.0,4.0,4.0,3,False,True,64.0,512.0,2.0794415416798357,2.8284271247461903,0,0,0,1,0,dirty,0,4.0,10.0,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.452380952380953,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10.0,20.0,10.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1,0.047619047619047616,20,0,1,1,0,1,0,0,0,0.0,0,0.0,33.33333333333333,1.15,2.4553914898486253,6.028947368421052,0.8817226281435071,50.0,55.00000000000001,60.42273147588416,5.278,14,street,medium,4,700,1996,7,80,clockwise,0,0,1,0,1,0,483.3818518070733,0.0,6.028947368421052,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,6.028947368421052,0
55,C SAINZ,SAI,sainz,Renault,FFF500,renault,Carlos,Sainz,Carlos Sainz,,,10.0,10,9.0,,,,0 days 00:00:45.722000,Finished,1.0,58.0,2018,1,Australian Grand Prix,Melbourne,2018-03-25,9.0,10.0,-1.0,3,False,True,81.0,729.0,2.1972245773362196,3.0,0,0,0,1,0,clean,1,5.0,10.0,7.0,10.0,10.0,10.0,0.0,0.0,0.0,100.0,0.0,0.0,6.0,1.0,-3.4523809523809526,0.0,0.0,7.0,7.0,0.0,7.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10.0,20.0,10.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,-3.0,-3.0,1,0.047619047619047616,20,0,1,1,0,1,0,0,0,0.0,0,0.0,33.33333333333333,1.15,2.4553914898486253,6.028947368421052,0.8817226281435071,50.0,55.00000000000001,60.42273147588416,5.278,14,street,medium,4,700,1996,7,80,clockwise,0,0,1,0,1,0,543.8045832829574,0.0,6.028947368421052,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,6.028947368421052,0
35,S SIROTKIN,SIR,sirotkin,Williams,FFFFFF,williams,Sergey,Sirotkin,Sergey Sirotkin,,,20.0,R,19.0,,,,,Brakes,0.0,4.0,2018,1,Australian Grand Prix,Melbourne,2018-03-25,19.0,20.0,-1.0,3,True,False,361.0,6859.0,2.9444389791664403,4.358898943540674,0,0,0,0,1,clean,1,10.0,10.0,14.0,10.0,10.0,10.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,1.0,2.5476190476190474,0.0,0.0,13.0,14.0,-1.0,14.0,-1.0,14.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10.0,20.0,10.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,-6.0,-6.0,1,0.047619047619047616,20,0,1,1,0,1,0,0,0,0.0,0,0.0,33.33333333333333,1.15,2.4553914898486253,6.028947368421052,0.8817226281435071,50.0,55.00000000000001,60.42273147588416,5.278,14,street,medium,4,700,1996,7,80,clockwise,0,0,1,0,1,0,1148.0318980417992,0.0,0.0,6.028947368421052,0.0,0,0,0,0.0,-19.0,0.0,0.0,0,0.0,0.0,6.028947368421052,0
18,L STROLL,STR,stroll,Williams,FFFFFF,williams,Lance,Stroll,Lance Stroll,,,14.0,14,13.0,,,,0 days 00:01:18.288000,Finished,0.0,58.0,2018,1,Australian Grand Prix,Melbourne,2018-03-25,13.0,14.0,-1.0,3,False,True,169.0,2197.0,2.5649493574615367,3.605551275463989,0,0,0,0,1,clean,1,7.0,10.0,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.452380952380953,0.0,0.0,0.0,0.0,0.0,14.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10.0,20.0,10.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,1,0.047619047619047616,20,0,1,1,0,1,0,0,0,0.0,0,0.0,33.33333333333333,1.15,2.4553914898486253,6.028947368421052,0.8817226281435071,50.0,55.00000000000001,60.42273147588416,5.278,14,street,medium,4,700,1996,7,80,clockwise,0,0,1,0,1,0,785.4955091864941,0.0,6.028947368421052,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,6.028947368421052,0
2,S VANDOORNE,VAN,vandoorne,McLaren,FF8700,mclaren,Stoffel,Vandoorne,Stoffel Vandoorne,,,9.0,9,11.0,,,,0 days 00:00:34.921000,Finished,2.0,58.0,2018,1,Australian Grand Prix,Melbourne,2018-03-25,11.0,9.0,2.0,3,False,True,121.0,1331.0,2.3978952727983707,3.3166247903554,0,0,0,0,1,clean,1,6.0,10.0,5.0,10.0,10.0,10.0,0.0,0.0,0.0,100.0,0.0,0.0,10.0,1.0,-0.45238095238095255,0.0,0.0,10.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10.0,20.0,10.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,-4.0,-4.0,1,0.047619047619047616,20,0,1,1,0,1,0,0,0,0.0,0,0.0,33.33333333333333,1.15,2.4553914898486253,6.028947368421052,0.8817226281435071,50.0,55.00000000000001,60.42273147588416,5.278,14,street,medium,4,700,1996,7,80,clockwise,0,0,1,0,1,0,664.6500462347258,0.0,6.028947368421052,0.0,0.0,0,0,0,0.0,55.0,0.0,0.0,0,0.0,0.0,6.028947368421052,0
5,S VETTEL,VET,vettel,Ferrari,DC0000,ferrari,Sebastian,Vettel,Sebastian Vettel,,,1.0,1,3.0,,,,0 days 01:29:33.283000,Finished,25.0,58.0,2018,1,Australian Grand Prix,Melbourne,2018-03-25,3.0,1.0,2.0,3,False,True,9.0,27.0,1.0986122886681098,1.7320508075688772,0,1,1,1,0,clean,1,2.0,10.0,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.452380952380953,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10.0,20.0,10.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1,0.047619047619047616,20,0,1,1,0,1,0,0,0,0.0,0,0.0,33.33333333333333,1.15,2.4553914898486253,6.028947368421052,0.8817226281435071,50.0,55.00000000000001,60.42273147588416,5.278,14,street,medium,4,700,1996,7,80,clockwise,0,0,1,0,1,0,181.26819442765247,0.0,0.0,0.0,0.0,0,1,0,0.0,0.0,0.0,0.0,0,0.0,0.0,6.028947368421052,0
