feature_name,feature_type,missing_pct,variance,correlation_with_target,abs_correlation
circuit_top3_win_rate,circuit,0.0,40.0963,0.0,4.992938057811703e-19
long_straight,other,0.0,0.2488,-0.0,3.961215743067563e-19
post_2022,temporal,0.0,0.0,0.0,0.0
veteran_new_circuit,interaction,0.0,0.0,0.0,0.0
Q1,other,100.0,0.0,0.0,0.0
year_first_raced,other,0.0,711.126,0.0,0.0
Q2,other,100.0,0.0,0.0,0.0
Q3,other,100.0,0.0,0.0,0.0
is_season_finale,temporal,0.0,0.0487,0.0,0.0
covid_affected,temporal,0.0,0.0,0.0,0.0
is_veteran,driver,0.0,0.0,0.0,0.0
is_street,other,0.0,0.2133,0.0,0.0
high_downforce,other,0.0,0.2462,0.0,0.0
CountryCode,other,100.0,0.0,0.0,0.0
