Model,Train MAE,Val MAE,Val RMSE,Val R²,Median Error,P90 Error,Train Time (s),Overfitting
CatBoost (tuned),0.1820642616218731,0.5916152390558514,0.7858890472964257,0.9812082967220083,0.4447724679488445,1.4072401851284735,0.34145689010620117,-0.40955097743397834
LightGBM (default),0.17869531031091407,0.6268712145269937,0.7525063149877934,0.982770845256278,0.5516030179008489,1.2268710383753103,0.27237606048583984,-0.4481759042160796
CatBoost (default),0.0006481726305887078,0.6544637483673033,0.8208533086743515,0.9794990125363263,0.5580622067340881,1.252632884707868,0.9786150455474854,-0.6538155757367146
XGBoost (tuned),0.1793654756385739,0.6671041534060523,0.8469507530104803,0.9781747116154996,0.6318874359130859,1.3196060180664069,0.655001163482666,-0.4877386777674784
XGBoost (default),0.0005156917064463725,0.7002433462748452,0.9447909964798116,0.9728409130283381,0.5473794937133789,1.5281266689300539,0.2156078815460205,-0.6997276545683988
LightGBM (tuned),0.3399380340564103,0.7278786454721878,0.9180646786033752,0.9743557364542239,0.6091189823838858,1.5667602764494937,1.9241821765899658,-0.3879406114157775
